16/11/23	BELLES 15	802	10,1	2.161,40
16/11/23	STILED 13	833	25,8	2.967,00
16/11/23	MARCEL 30	840	9	349,20
16/11/23	TIRA CANAL	832	11,4	2.173,41
16/11/23	STILED 13	820	14,6	1.679,00
16/11/23	MURITI 10	906	9,3	1.767,00
16/11/23	MURITI 10	906	9,3	1.767,00
17/11/23	NEW CONF	908	31,8	2.139,82
17/11/23	TURIN	907	11,5	3.714,50
17/11/23	08 DE LYCRA	902	11	3.678,84
17/11/23	MURITI 14	804	22,2	2.974,80
17/11/23	MARCEL 30	840	8,6	333,68
17/11/23	MURITI 10	806	15,4	2.926,00
17/11/23	CÓS 16	816	10,2	1.212,27
17/11/23	STILED 18	821	10	788,60
17/11/23	BALLI 16	815	2,6	1.081,60
17/11/23	MURITI 14	809	15	2.010,00
17/11/23	MURITI 10	805	11,8	2.242,00
17/11/23	STILED 18	827	20,4	1.608,74
17/11/23	STILED 13	819	18,1	2.081,50
17/11/23	BELLES 15	808	6,8	1.455,20
17/11/23	BELLES 24	824	6,6	811,80
21/11/23	BELLES 15	807	8,9	1.904,60
21/11/23	BELLES 15	802	4,9	1.048,60
21/11/23	06 DE LYCRA	901	9,1	3.949,40
21/11/23	BELLES 15	814	8	1.712,00
21/11/23	BELLES 15	812	7,4	1.048,60
21/11/23	MURITI 10	906	7	1.330,00
21/11/23	MURITI 10	906	6,8	1.292,00
21/11/23	MURITI 14	838	25,8	3.457,20
21/11/23	TIRA CANAL	832	17	3.241,05
21/11/23	STILED 13	830	29	3.335,00
21/11/23	BELLES 24	824	7	861,00
21/11/23	STILED 18	821	28,2	2.223,85
21/11/23	STILED 18	827	30	2.365,80
21/11/23	STILED 18	825	30,8	2.428,89
21/11/23	MURITI 14	809	20	2.680,00
21/11/23	BELLES 15	811	11,2	2.396,80
21/11/23	BALLI 16	815	3,4	1.414,40
21/11/23	BELLES 15	810	12,6	2.696,40
21/11/23	MURITI 14	804	11,6	1.554,40
21/11/23	BELLES 15	801	13,6	2.910,40
21/11/23	BELLES 15	802	6	1.284,00
21/11/23	MURITI 10	813	15	2.850,00
21/11/23	BELLES 15	808	4,8	1.027,20
21/11/23	CÓS 16	816	11,4	1.354,89
21/11/23	NEW CONF	908	24	1.614,96
21/11/23	BELLES 15	807	5	1.070,00
22/11/23	STILED 18	821	23,4	1.845,32
22/11/23	STILED 13	819	20,6	2.369,00
22/11/23	STILED 13	820	11	1.265,00
22/11/23	STILED 18	827	11,8	930,55
22/11/23	STILED 18	825	19,4	1.529,88
22/11/23	BELLES 15	812	7	1.498,00
22/11/23	TIRA CANAL	832	11	2.097,15
22/11/23	MURITI 10	805	16,6	3.154,00
22/11/23	STILED 13	833	26,2	3.013,00
22/11/23	MURITI 10	806	12	2.280,00
22/11/23	BELLES 15	801	6,6	1.412,40
22/11/23	BELLES 15	814	9,6	2.054,40
22/11/23	BELLES 15	807	4,7	1.005,80
22/11/23	BELLES 15	802	5,9	1.262,60
22/11/23	BALLI 16	815	2	832,00
22/11/23	MURITI 10	903	7,8	1.482,00
22/11/23	MURITI 10	903	7,5	1.425,00
22/11/23	08 DE LYCRA	902	12,4	4.147,06
23/11/23	STILED 10	835	27	4.104,00
23/11/23	MURITI 14	809	12	1.608,00
23/11/23	STILED 13	830	29,2	3.358,00
23/11/23	BELLES 15	811	7	1.498,00
23/11/23	STILED 18	827	14,6	1.151,36
23/11/23	STILED 18	825	18	1.419,48
23/11/23	STILED 18	821	15,2	1.198,67
23/11/23	BALLI 16	815	1,6	243,20
23/11/23	STILED 13	820	11,4	1.311,00
23/11/23	BELLES 24	824	8	984,00
23/11/23	BELLES 15	801	1,6	342,40
23/11/23	06 DE LYCRA	901	10,3	1.565,60
23/11/23	MURITI 14	804	19	2.546,00
23/11/23	NEW CONF	908	19	1.278,51
23/11/23	BELLES 15	808	8	1.712,00
23/11/23	MURITI 14	838	18,2	2.438,80
23/11/23	MURITI 10	813	10,6	2.014,00
23/11/23	BELLES 15	814	4,6	984,40
23/11/23	CÓS 16	816	13,4	1.592,59
24/11/23	MURITI 10	906	9,2	1.748,00
24/11/23	MURITI 10	906	9,5	1.805,00
24/11/23	1653	904	7,4	1.670,77
24/11/23	1653	904	7	1.580,46
24/11/23	MURITI 10	903	6,5	1.235,00
24/11/23	MURITI 10	903	6,9	1.311,00
24/11/23	BELLES 15	807		0,00
24/11/23	BELLES 24	824		0,00
24/11/23	STILED 13	833		0,00
24/11/23	MURITI 14	803		0,00
24/11/23	BELLES 15	810		0,00
24/11/23	BELLES 15	812		0,00
24/11/23	STILED 13	819		0,00
24/11/23	STILED 18	825		0,00
24/11/23	BELLES 15	802		0,00
